name,id,all_cleaned
Metapod,11,"Metapod: id: 11 - nickname: Cocoon Pokémon - type: bug - height: 0.7 - weight: 9.9; descriptions: A steel hard shell protects its tender body. It quietly endures hardships while awaiting evolution.; Inside the shell, it is soft and weak as it pre pares to evolve. It stays motion less in the shell.; Hardens its shell to protect itself. However, a large impact may cause it to pop out of its shell.; Its shell is as hard as an iron slab. A Metapod does not move very much because it is preparing its soft innards for evolution inside the shell.; It prepares for evolution by hardening its shell as much as possible to protect its soft body.; The shell covering this Pokémon's body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.; Its shell is hard, but it's still just a bug shell. It's been known to break, so intense battles with it should be avoided.; Its shell is filled with a thick liquid. All of the cells throughout its body are being rebuilt in preparation for evolution.; Its hard shell doesn't crack a bit even if Pikipek pecks at it, but it will tip over, spilling out its insides.; It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.; This Pokémon is vulnerable to attack while its shell is soft, exposing its weak and tender body.; Its shell is filled with its soft innards. It doesn't move much because of the risk it might carelessly spill its innards out.; This is its pre evolved form. At this stage, it can only harden, so it remains motionless to avoid attack.; Even though it is encased in a sturdy shell, the body inside is tender. It can't withstand a harsh attack."
Butterfree,12,"Butterfree: id: 12 - nickname: Butterfly Pokémon - type: bug and flying - height: 1.1 - weight: 32.0; descriptions: Water repellent powder on its wings enables it to collect honey, even in the heaviest of rains.; It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.; It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.; In battle, it flaps its wings at high speed to release highly toxic dust into the air.; It has a superior ability to search for delicious honey from flowers. It can seek, extract, and carry honey from flowers blooming over six miles away.; Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.; When attacked by other Pokémon, it defends itself by scattering its poisonous scales and fluttering its wings.; In battle, it flaps its wings at great speed to release highly toxic dust into the air.; It flits from flower to flower, collecting honey. It can even identify distant flowers in bloom.; Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, Butterfree sprinkles its scales on them to drive them off.; The wings are protected by rain repellent dust. As a result, this Pokémon can fly about even in rain.; Its wings, covered with poisonous powders, repel water. This allows it to fly in the rain.; Its wings, covered with poisonous powder, repel water. This allows it to fly in the rain.; Nectar from pretty flowers is its favorite food. In fields of flowers, it has heated battles with Cutiefly for territory.; Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes."
Weedle,13,"Weedle: id: 13 - nickname: Hairy Bug Pokémon - type: bug and poison - height: 0.3 - weight: 3.2; descriptions: Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis nose .; It attacks using a two inch poison barb on its head. It can usually be found under the leaves it eats.; Often found in forests, eating leaves. It has a sharp venomous stinger on its head.; The barb on top of its head secretes a strong poison. It uses this toxic barb to protect itself.; Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.; Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.; Its poison stinger is very powerful. Its bright colored body is intended to warn off its enemies.; A Weedle has an extremely acute sense of smell. It distinguishes its favorite kinds of leaves from those it dislikes by sniffing with its big red proboscis nose .; Often found in forests, eating leaves. It has a sharp stinger on its head that injects poison.; It eats its weight in leaves every day. It fends off attackers with the needle on its head."
Kakuna,14,"Kakuna: id: 14 - nickname: Cocoon Pokémon - type: bug and poison - height: 0.6 - weight: 10.0; descriptions: Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.; Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger.; This Pokémon is in a temporary stage while making its body. It is almost completely unable to move on its own.; Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.; Almost incapable of moving, this Pokémon can only harden its shell to protect itself from predators.; Although it is a cocoon, it can move a little. It can extend its poison barb if it is attacked.; It remains virtually immobile while it clings to a tree. However, on the inside, it busily prepares for evolution. This is evident from how hot its shell becomes.; Nearly incapable of movement, it leans against stout trees while waiting for its evolution.; From this form, it will grow into an adult. As its body becomes softer, the external shell hardens.; While awaiting evolution, it hides from predators under leaves and in nooks of branches."
Beedrill,15,"Beedrill: id: 15 - nickname: Poison Bee Pokémon - type: bug and poison - height: 1.0 - weight: 29.5; descriptions: It can take down any opponent with its powerful poison stingers. It sometimes attacks in swarms.; It flies at high speed and attacks using the large venomous stingers on its forelegs and tail.; It has 3 poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.; May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear.; It has three poison barbs. The barb on its tail secretes the most powerful poison.; It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.; Beedrill is extremely territorial. No one should ever approach its nest this is for their own safety. If angered, they will attack in a furious swarm.; Its best attack involves flying around at high speed, striking with poison needles, then flying off.; It uses sharp, poisonous stings to defeat prey, then takes the victim back to its nest for food.; Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.; A Beedrill is extremely territorial. For safety reasons, no one should ever approach its nest. If angered, they will attack in a swarm."
Pidgey,16,"Pidgey: id: 16 - nickname: Tiny Bird Pokémon - type: normal and flying - height: 0.3 - weight: 1.8; descriptions: Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.; It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.; It usually hides in tall grass. Be cause it dislikes fighting, it pro tects itself by kicking up sand.; A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.; It rapidly flaps its wings in the grass, stirring up a dust cloud that drives insect prey out into the open.; Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.; Common in grassy areas and forests, it is very docile and will chase off enemies by flap ping up sand.; It has an extremely sharp sense of direction. It can unerringly return home to its nest, however far it may be removed from its familiar surroundings.; Does not like to fight. It hides in tall grass and so on, foraging for food such as small bugs."
Pidgeotto,17,"Pidgeotto: id: 17 - nickname: Bird Pokémon - type: normal and flying - height: 1.1 - weight: 30.0; descriptions: Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.; This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.; The claws on its feet are well developed. It can carry prey such as an Exeggcute to its nest over 60 miles away.; It immobilizes its prey using well developed claws, then carries the prey more than 60 miles to its nest.; It renders its prey immobile using well developed claws, then carries the prey more than 60 miles to its nest.; Very protective of its sprawling territorial area, this Pokémon will fiercely peck at any intruder.; This Pokémon flies around, patrolling its large territory. If its living space is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.; It slowly flies in a circular pat tern, all the while keeping a sharp lookout for prey.; It has outstanding vision. However high it flies, it is able to distin guish the move ments of its prey.; It flies over its wide territory in search of prey, downing it with its highly developed claws."
Pidgeot,18,"Pidgeot: id: 18 - nickname: Bird Pokémon - type: normal and flying - height: 1.5 - weight: 39.5; descriptions: This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.; This Pokémon has gorgeous, glossy feathers. Many Trainers are so captivated by the beautiful feathers on its head that they choose Pidgeot as their Pokémon.; By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees.; When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp.; It spreads its gorgeous wings widely to intimidate enemies. It races through the skies at Mach 2 speed.; Its well developed chest muscles make it strong enough to whip up a gusty windstorm with just a few flaps.; It spreads its beautiful wings wide to frighten its enemies. It can fly at Mach 2 speed.; This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.; Its outstanding vision allows it to spot splashing Magikarp, even while flying at 3300 feet."
Rattata,19,"Rattata: id: 19 - nickname: Mouse Pokémon - type: normal - height: 0.3 - weight: 3.5; descriptions: Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives it will make its nest anywhere.; Its incisors continue growing until its death. If its Trainer doesn't offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on.; It eats anything. Wherever food is available, it will settle down and produce offspring continuously.; Living wherever there is food available, it ceaselessly scav enges for edibles the entire day.; Bites anything when it attacks. Small and very quick, it is a common sight in many places.; A Rattata is cautious in the extreme. Even while it is asleep, it constantly moves its ears and listens for danger. It will make its nest anywhere.; With their strong capacity for survival, they can live in dirty places without concern. Left unchecked, their numbers multiply rapidly.; Cautious in the extreme, its hardy vitality lets it live in any kind of environment.; This Pokémon is common but hazardous. Its sharp incisors can easily cut right through hard wood.; Will chew on any thing with its fangs. If you see one, it is certain that 40 more live in the area.; Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.; Its fangs are long and very sharp. They grow continuously, so it gnaws on hard things to whittle them down.; Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death.; It searches for food all day. It gnaws on hard objects to wear down its fangs, which grow constantly during its lifetime.; This Pokémon's impressive vital ity allows it to live anywhere. It also multiplies very quickly."
Raticate,20,"Raticate: id: 20 - nickname: Mouse Pokémon - type: normal - height: 0.7 - weight: 18.5; descriptions: It whittles its constantly growing fangs by gnawing on hard things. It can chew apart cinder walls.; The webs on its hind legs enable it to cross rivers. It searches wide areas for food.; Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.; With its long fangs, this surprisingly violent Pokémon can gnaw away even thick concrete with ease.; Its whiskers are essential for maintaining its balance. No matter how friendly you are, it will get angry and bite you if you touch its whiskers.; Gnaws on anything with its tough fangs. It can even topple concrete buildings by gnawing on them.; Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.; Its hind feet are webbed, so it's a strong swimmer. It can cross rivers and sometimes even oceans.; People say that it fled from its enemies by using its small webbed hind feet to swim from island to island in Alola.; Its whiskers help it to maintain balance. Its fangs never stop growing, so it gnaws to pare them down.; A Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.; Its disposition is far more violent than its looks would suggest. Don't let your hand get too close to its face, as it could bite your hand clean off.; Its rear feet have three toes each. They are webbed, enabling it to swim across rivers.; It uses its whiskers to maintain its balance. It apparently slows down if they are cut off."
Spearow,21,"Spearow: id: 21 - nickname: Tiny Bird Pokémon - type: normal and flying - height: 0.3 - weight: 2.0; descriptions: Inept at flying high. However, it can fly around very fast to protect its ter ritory.; Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.; To protect its territory, it flies around ceaselessly, making high pitched cries.; It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.; Its loud cry can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.; Its reckless nature leads it to stand up to others even large Pokémon if it has to protect its territory.; Its short wings make it inept at flying. It moves about hurriedly and pecks at Bug type Pokémon in the tall grass.; It busily flits around here and there. Even if it is frail, it can be a tough foe that uses Mirror Move.; Very protective of its territory, it flaps its short wings busily to dart around at high speed.; Farmers whose fields are troubled by bug Pokémon appreciate Spearow for its vigorous appetite and look after it.; It flaps its short wings to flush out insects from tall grass. It then plucks them with its stubby beak.; Due to its short wings, it can't fly long distances. It wanders about restlessly and pecks at bug Pokémon.; Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne."
Fearow,22,"Fearow: id: 22 - nickname: Beak Pokémon - type: normal and flying - height: 1.2 - weight: 38.0; descriptions: It cleverly uses its thin, long beak to pluck and eat small insects that hide under the ground.; It shoots itself suddenly high into the sky, then plummets down in one fell swoop to strike its prey.; A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.; It has the stamina to keep flying all day on its broad wings. It fights by using its sharp beak.; Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.; Its huge and magnificent wings can keep it aloft in the sky. It can remain flying a whole day without landing.; With its huge and magnificent wings, it can keep aloft without ever having to land for rest.; Carrying food through Fearow's territory is dangerous. It will snatch the food away from you in a flash; Its long neck and elongated beak are ideal for catching prey in soil or water. It deftly moves this extended and skinny beak to pluck prey.; It uses its long beak to attack. It has a surprisingly long reach, so it must be treated with caution.; It has the stamina to fly all day on its broad wings. It fights by using its sharp beak.; It's tough and has excellent stamina. It has no problem flying continuously for a whole day carrying a heavy load.; Drawings of a Pokémon resembling Fearow can be seen in murals from deep in ancient history.; In Alola, fish Pokémon are its prey. It can be seen circling above the ocean searching for food."
Ekans,23,"Ekans: id: 23 - nickname: Snake Pokémon - type: poison - height: 2.0 - weight: 6.9; descriptions: A very common sight in grassland, etc. It flicks its tongue in and out to sense danger in its surroundings.; It flutters the tip of its tongue to seek out the scent of prey, then swallows the prey whole.; It can freely detach its jaw to swallow large prey whole. It can become too heavy to move, however.; It sneaks through grass without making a sound and strikes unsuspecting prey from behind.; Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.; Moving silently and stealthily, it eats the eggs of birds, such as Pidgey and Spearow, whole.; Moves silently and stealthily. Eats the eggs of birds, such as Pidgey and Spearow, whole.; It always hides in grass. When first born, it has no poison, so its bite is painful, but harmless.; The eggs of bird Pokémon are its favorite food. It swallows eggs whole, so sometimes an egg gets stuck, and Ekans faints.; An Ekans curls itself up in a spiral while it rests. This position allows it to quickly respond to an enemy from any direction with a threat from its upraised head.; The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.; By dislocating its jaw, it can swallow prey larger than itself. After a meal, it curls up and rests."
Arbok,24,"Arbok: id: 24 - nickname: Cobra Pokémon - type: poison - height: 3.5 - weight: 65.0; descriptions: This Pokémon has a terrifically strong constricting power. It can even flatten steel oil drums. Once it wraps its body around its foe, escaping is impossible.; Transfixing prey with the face like pattern on its belly, it binds and poisons the frightened victim.; This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.; The pattern on its belly appears to be a frightening face. Weak foes will flee just at the sight of the pattern.; To intimidate foes, it spreads its chest wide and makes eerie sounds by expelling air from its mouth.; With a very venge ful nature, it won't give up the chase, no matter how far, once it targets its prey.; After stunning its opponents with the pattern on its stomach, it quickly wraps them up in its body and waits for them to stop moving.; It is rumored that the ferocious warning markings on its belly differ from area to area.; The latest research has determined that there are over 20 possible arrangements of the patterns on its stomach.; The frightening patterns on its belly have been studied. Six variations have been confirmed.; The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear."
Pikachu,25,"Pikachu: id: 25 - nickname: Mouse Pokémon - type: electric - height: 0.4 - weight: 6.0; descriptions: This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.; This Pokémon has electricity storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.; While sleeping, it generates electricity in the sacs in its cheeks. If it's not getting enough sleep, it will be able to use only weak electricity.; Possesses cheek sacs in which it stores electricity. This clever forest dweller roasts tough berries with an electric shock before consuming them.; When Pikachu meet, they'll touch their tails together and exchange electricity through them as a form of greeting.; Whenever Pikachu comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it's evidence that this Pokémon mistook the intensity of its charge.; It's in its nature to store electricity. It feels stressed now and then if it's unable to fully discharge the electricity.; Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.; It stores electricity in the electric sacs on its cheeks. When it releases pent up energy in a burst, the electric power is equal to a lightning bolt.; If it looses crackling power from the electric pouches on its cheeks, it is being wary.; It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.; Its nature is to store up electricity. Forests where nests of Pikachu live are dangerous, since the trees are so often struck by lightning.; This forest dwelling Pokémon stores electricity in its cheeks, so you'll feel a tingly shock if you touch it.; A plan was recently announced to gather many Pikachu and make an electric power plant.; When it is anger ed, it immediately discharges the energy stored in the pouches in its cheeks.; It lives in forests with others. It stores electricity in the pouches on its cheeks.; When several of these Pokémon gather, their electricity could build and cause lightning storms.; When several of these Pokémon gather, their electricity can build and cause lightning storms.; It keeps its tail raised to monitor its surroundings. If you yank its tail, it will try to bite you.; It raises its tail to check its sur roundings. The tail is sometimes struck by light ning in this pose.; It has small electric sacs on both its cheeks. If threatened, it looses electric charges from the sacs."
Raichu,26,"Raichu: id: 26 - nickname: Mouse Pokémon - type: electric - height: 0.8 - weight: 30.0; descriptions: If its electric pouches run empty, it raises its tail to gather electri city from the atmosphere.; When its electric ity builds, its muscles are stimu lated, and it be comes more aggres sive than usual.; Because so many Trainers like the way Pikachu looks, you don't see this Pokémon very often.; It becomes aggressive when it has electricity stored up. At such times, even its Trainer has to take care to avoid being attacked.; Its tail discharges electricity into the ground, protecting it from getting shocked.; Its long tail serves as a ground to protect itself from its own high voltage power.; It turns aggressive if it has too much electricity in its body. It discharges power through its tail.; It unleashes electric shocks that can reach 100,000 volts. When agitated, it can knock out even an Indian elephant.; As electricity builds up inside its body, it becomes more aggressive. One theory is that the electricity buildup is actually causing stress.; When electricity builds up inside its body, it becomes feisty. It also glows in the dark.; This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.; Its electric charges can reach even 100,000 volts. Careless contact can cause even an Indian elephant to faint.; If it stores too much electricity, its behavior turns aggressive. To avoid this, it occasionally discharges excess energy and calms itself down.; This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu searches for electricity by planting its tail in the ground.; If the electrical sacs become excessively charged, Raichu plants its tail in the ground and discharges. Scorched patches of ground will be found near this Pokémon's nest.; It can loose 100,000 volt bursts of electricity, instantly downing foes several times its size.; It can discharge bursts of electricity exceeding 100,000 volts a single strike with that amount of power would incapacitate one of the Copperajah of my homeland.; If the electrical sacks become excessively charged, Raichu plants its tail in the ground and discharges. Scorched patches of ground will be found near this Pokémon's nest.; If the electric pouches in its cheeks become fully charged, both ears will stand straight up."
